Field,Aberdeen (example),Corby (example),Notes / how to fill
Town,Aberdeen,Corby,The town the page targets
Region / County,Aberdeenshire & North East Scotland,Northamptonshire & East Midlands,Used in copy + breadcrumb
Postcode area,AB,NN,Drives the honest delivery line
Primary industries (real local mix),Offshore oil & gas | Subsea engineering | Decommissioning | Offshore wind & renewables | Fishing & seafood processing | Aberdeenshire agriculture,Logistics & distribution (Golden Triangle) | Food & drink manufacturing | Steel & metals engineering | Cold-chain / chilled DCs | Construction,THE uniqueness driver. Real ONS/local-economy data — never invented. This is what makes each page genuinely different.
Dominant workwear needs (derived),FR antistatic coveralls | Offshore multi-norm coveralls | Deck/yard hi-vis | North Sea cold & wind protection | Chemical splash | Safety footwear,Hi-vis (Class 2/3) | S3 safety footwear | Cold-store thermals | Cut-resistant gloves | Bump caps | Food-hygiene wear,Derived from the industry mix above
Lead standards (derived),EN ISO 11612 (heat/flame) | EN 1149-5 (antistatic) | EN ISO 11611 (hot work) | EN 13034 (chemical) | IEC 61482 (arc) | EN ISO 20471 (hi-vis) | EN 342 (cold),EN ISO 20471 (hi-vis) | EN ISO 20345 (footwear S1-S3) | EN 342 (cold store) | EN 511 (cold gloves) | EN 388 (cut),The standards those industries actually specify — completely different set per town
Shopify collections to link,fr-coveralls | offshore-coveralls | hi-vis | cold-store-thermal | safety-footwear,hi-vis | safety-footwear | cold-store-thermal | work-gloves | food-hygiene-wear,Collection slugs the page cites (many-to-few)
Industrial estates / trade parks (real),Altens Industrial Estate | Tullos | Dyce (airport & heliport) | Bridge of Don | Energy Transition Zone (ETZ),Midlands Logistics Park | Eurohub | Earlstrees Industrial Estate | Willowbrook Industrial Estate | Phoenix Parkway,Real named places we deliver to. Verifiable local specificity.
Colleges / training providers (real),North East Scotland College (NESCol) | Robert Gordon University | University of Aberdeen | OPITO-approved training centres,Tresham College (Corby) | Corby Business Academy | Brooke Weston Academy,Real — training providers are workwear buyers too
Customer story: site type,Subsea engineering & fabrication yard,Third-party logistics (3PL) chilled distribution centre,Anonymised but specific — describe the site type, never the client name
Customer story: what they needed,Multi-norm FR/antistatic coveralls plus hi-vis for a North Sea decommissioning crew,"Hi-vis, S3 safety boots and cold-store thermals for warehouse pick/pack teams across two shifts",Real requirement
Customer story: what we supplied,"FR antistatic coveralls to EN ISO 11612 / EN 1149-5 with EN ISO 20471 hi-vis panels, embroidered, plus EN 342 mid-layers","EN ISO 20471 Class 2 hi-vis, EN ISO 20345 S3 boots and EN 342 cold-store base/mid layers, logo-embroidered, on a managed reorder",Real supply
Customer story: outcome,Full crew kitted to the operator's offshore PPE matrix ahead of mobilisation,Both shifts kitted for a chilled-DC peak ramp-up with sizing held for new starters,Real outcome
Customer story: distinctive detail,Turned around inside the yard's mobilisation window; repeat orders each project phase,Standing sizing pack held so new agency starters are kitted same-day,The specific, true detail that makes it read real (like your cleaning CSV)
Delivery note (honest),Next-working-day delivery to AB postcodes,Next-working-day delivery to NN postcodes,Honest delivery reality — NOT a fake local storefront
Internal client name (NEVER on page),[real client — internal only],[real client — internal only],Mirrors your cleaning CSV's internal column. Real supplies only; never fabricate.
Uniqueness check (which value test),Unique information (offshore industry mix + multi-norm standard set) + real supplied-customer story,Unique information (logistics/cold-chain mix + hi-vis/cold standards) + real supplied-customer story,Every page must clear the gate on its local-industry substance — not just the town name
Schema type,Article + FAQPage + BreadcrumbList (NO LocalBusiness),Article + FAQPage + BreadcrumbList (NO LocalBusiness),Honest schema: a delivery/guide page for a nationwide supplier — never a fake local-business address
