email,site_label,site_count,local_authority,subject,body
6702235_yggllwynderw@hwbcymru.net,Mes Llwynderw,1,Swansea,10 things an EHO checks in a commercial kitchen — Mes Llwynderw,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
a.park@merthyr.ac.uk,Here We Grow,1,Merthyr Tydfil,10 things an EHO checks in a commercial kitchen — Here We Grow,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
abbeychildcareltd@gmail.com,Abbey Childcare,1,Neath Port Talbot,10 things an EHO checks in a commercial kitchen — Abbey Childcare,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
abbie.meredith@brighterfuturescymru.com,Tynewydd House,1,Rhondda Cynon Taf,10 things an EHO checks in a commercial kitchen — Tynewydd House,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
abc@allborncurious.co.uk,All Born Curious Limited,1,Neath Port Talbot,10 things an EHO checks in a commercial kitchen — All Born Curious Limited,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
abcgwastad@gmail.com,ABC Day Nursery Ltd and 3 other services you run,4,Wrexham,10 things an EHO checks in a commercial kitchen — ABC Day Nursery Ltd and 3 other services you run,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
aberporthplaygroup@gmail.com,Aberporth Bilingual Playgroup,1,Ceredigion,10 things an EHO checks in a commercial kitchen — Aberporth Bilingual Playgroup,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
abrightstartnurseryrumney@live.co.uk,A Bright Start Nursery Rumney,1,Cardiff,10 things an EHO checks in a commercial kitchen — A Bright Start Nursery Rumney,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
acorns_playgroup@live.co.uk,Acorns Playgroup,1,Wrexham,10 things an EHO checks in a commercial kitchen — Acorns Playgroup,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
acornsholidayclubwelshpool@gmail.com,Acorns Holiday Club,1,Powys,10 things an EHO checks in a commercial kitchen — Acorns Holiday Club,"Hi there,

I'm Damien, I run Phoenix Duct Clean — TR19 kitchen extraction cleaning and laundry duct cleaning, 15+ years doing it for care homes, nursing homes and nurseries across the UK. Thought this might be useful regardless of whether we ever work together.

Ten things an Environmental Health Officer is actually looking at during a food hygiene inspection:

1. Fridge/freezer temperatures and evidence of proper monitoring
2. Date labelling and stock rotation
3. Handwashing facilities and staff hygiene practices
4. Cleaning schedules and records for equipment and surfaces
5. Signs of pests, and how well the kitchen is proofed against them
6. Condition and cleanliness of the extraction canopy, filters and ductwork
7. Structural condition -- walls, floors, ceilings, are they intact and cleanable
8. Waste storage and disposal, kept away from food prep
9. Allergen information and how it's managed
10. A documented food safety management system (e.g. Safer Food Better Business)

Number 6 is the one that gets missed most, because most of it is out of sight above the canopy. A greasy extraction system can count against your food hygiene rating at inspection, separately from the fire-safety side of things.

If it's been a while since your site's extraction system was properly cleaned (not just wiped down) -- or your laundry extraction duct, if you run an on-site laundry -- happy to have a look and give you a no-obligation price. Every clean comes with a dated certificate, before/after photos, and an access report.

Damien
Phoenix Duct Clean
07961 915018 / officeductclean@gmail.com
phoenixductclean.com
"
