Family,Uniqueness Driver,Value Test (Sec 2),Template Family,Est. Pages,Priority Tier,Links To (Shopify),Example Page Titles
Standard & regulation explainers,The EN/ISO/IEC standard itself,Unique information,Standard explainer,45,1,Relevant category collection,"EN ISO 20471 hi-vis classes explained | EN ISO 11611 welding clothing | EN 388 glove protection explained | EN ISO 20345 safety footwear"
Class & code decoders / comparisons,A class or code within a standard,Unique intent + utility,Comparison / decoder,40,1,Filtered collection,"Class 2 vs Class 3 hi-vis | Safety boot codes S1 S1P S3 S7 explained | FFP1 vs FFP2 vs FFP3 | EN 388 abrasion/cut/tear/puncture decoded"
Sector hubs,Industry hazard profile,Unique information,Sector hub,38,1,Sector collection,"Construction workwear guide | NHS & healthcare workwear | Hospitality & catering workwear | Warehousing & logistics workwear"
Role / occupation guides,Role hazard to garment to standard map,Unique information,Role guide,180,1,Role / standard collection,"Workwear for welders | PPE for electricians | What a chef wears | Kit for warehouse operatives"
Garment buying guides,Garment type + selection criteria,Unique information,Buying guide,85,2,Garment collection,"Best safety boots for concrete floors | Choosing FR coveralls | Best fleeces for outdoor workers | Waterproofs for groundworkers"
Garment comparison pages,Two garments or specs head-to-head,Unique intent,Comparison,80,2,Filtered collection,"Inherent vs treated FR | Polycotton vs cotton workwear | Rigger vs lace-up safety boots | Softshell vs fleece"
Care & maintenance guides,Garment / fabric care rules,Unique utility + information,Care guide,60,2,Garment collection,"How to wash FR coveralls | Caring for hi-vis so it stays compliant | Reproofing waterproofs | Getting oil out of workwear"
Sizing & fit guides,Garment / brand measurements,Unique utility,Sizing guide,60,3,Garment collection,"Coverall sizing guide | Safety boot fit guide | Glove size chart | Women's workwear fit guide"
Interactive tools,Live decision logic,Unique utility (highest value),Tool,20,1,Multiple collections,"Hi-vis class selector | EN 388 glove decoder | PPE checklist builder | Embroidery cost calculator | Welding standard finder"
Glossary & definitions,A single term / standard / fabric,Unique intent,Glossary,220,3,Contextual,"What is modacrylic? | What is ATPV? | What is a boilersuit? | What does GSM mean in workwear?"
Curated sector x role deep pages,A genuinely differentiated combination,Unique information,Role guide (variant),300,3,Filtered collection,"FR coveralls for welders in oil & gas | Hi-vis for railway trackside workers | Chef whites for high-volume production kitchens (ONLY where requirements truly differ)"
Employer & compliance guides,A UK regulation or duty,Unique information,Compliance guide,50,1,Contextual,"PPE at Work Regulations 2022 explained | Who pays for workwear? | Do employers have to provide safety boots?"
Embroidery & branding guides,A customisation topic,Unique information,Guide,25,2,Embroidery service,"Embroidery vs print for workwear | Adding a logo to hi-vis without breaking EN ISO 20471 | Reflective heat-seal placement rules"
Editorial / blog (year 1),Editorial angle / seasonal / news,Unique information + experience,Editorial,150,Ongoing,Contextual,"Best thermal base layers for winter site work 2026 | Seasonal buying guides | Standards updates & news"
TOTAL (safe core content),,,,~1350,,,"Every page passes at least one Sec 2 value test. No town-multiplication. Grows to ~2,000-3,000 with editorial over 2-3 years."
